iter	RMSE
0	602.4164419
1	563.2273711
2	527.7657232
3	497.3496547
4	468.8817982
5	443.13445
6	421.2400921
7	401.2473882
8	383.9063928
9	368.6330241
10	354.3203176
11	340.1663599
12	328.5579593
13	318.4472067
14	308.3672402
15	299.5602625
16	292.5756872
17	285.066711
18	279.6041705
19	273.1763966
20	268.5820351
21	263.635703
22	260.1843696
23	256.8277258
24	253.4221871
25	250.5047912
26	248.068909
27	245.8520503
28	243.1855891
29	240.7906908
30	239.2070049
31	236.8806068
32	234.3836011
33	232.7027563
34	230.55915
35	229.0574165
36	227.5644668
37	226.8985598
38	225.4052127
39	224.2119587
40	223.0642313
41	222.2162235
42	220.7765797
43	219.8158283
44	218.9340087
45	217.992012
46	216.6479645
47	215.6789764
48	214.949142
49	214.1313536
50	213.6927791
51	212.9361867
52	211.6617596
53	211.0664968
54	210.2329555
55	209.3547472
56	208.3348426
57	207.844286
58	207.1316666
59	206.3541995
60	205.6922716
61	204.8946965
62	204.5144177
63	203.8691568
64	203.0553816
65	202.4744335
66	201.7205648
67	201.1232287
68	200.9277649
69	200.1469208
70	199.5408014
71	198.9360515
72	197.9538565
73	196.9297892
74	196.2967409
75	195.7404253
76	195.3776642
77	195.0589583
78	194.5581049
79	194.1474929
80	193.6214768
81	192.660556
82	191.8453963
83	191.1971374
84	190.4335537
85	190.0322087
86	189.4521132
87	188.5318035
88	187.6210488
89	186.4961557
90	185.9445219
91	185.2475274
92	184.3882734
93	183.6813191
94	182.7594112
95	181.9984238
96	181.5051563
97	181.1931242
98	180.6693944
99	180.429555
