iter	Passed	Remaining
0	202	20065
1	278	13628
2	348	11284
3	418	10034
4	492	9365
5	566	8879
6	651	8654
7	728	8377
8	796	8049
9	866	7798
10	942	7624
11	1012	7426
12	1087	7275
13	1156	7105
14	1224	6938
15	1320	6931
16	1395	6814
17	1464	6673
18	1533	6539
19	1601	6405
20	1671	6287
21	1741	6173
22	1810	6061
23	1883	5963
24	1949	5849
25	2032	5785
26	2130	5760
27	2207	5677
28	2279	5580
29	2347	5476
30	2414	5373
31	2485	5280
32	2556	5191
33	2648	5140
34	2733	5075
35	2830	5032
36	2897	4934
37	2965	4838
38	3040	4755
39	3114	4672
40	3192	4594
41	3273	4520
42	3349	4439
43	3425	4359
44	3497	4274
45	3570	4191
46	3640	4104
47	3714	4024
48	3792	3946
49	3859	3859
50	3929	3774
51	4005	3696
52	4084	3621
53	4169	3551
54	4248	3476
55	4320	3394
56	4393	3314
57	4460	3230
58	4527	3146
59	4595	3063
60	4668	2984
61	4734	2901
62	4803	2821
63	4870	2739
64	4939	2659
65	5010	2581
66	5078	2501
67	5150	2423
68	5222	2346
69	5294	2269
70	5361	2189
71	5429	2111
72	5500	2034
73	5568	1956
74	5640	1880
75	5711	1803
76	5780	1726
77	5851	1650
78	5922	1574
79	5990	1497
80	6058	1421
81	6129	1345
82	6196	1269
83	6265	1193
84	6335	1118
85	6415	1044
86	6486	969
87	6566	895
88	6643	821
89	6712	745
90	6791	671
91	6860	596
92	6930	521
93	6999	446
94	7076	372
95	7158	298
96	7240	223
97	7314	149
98	7386	74
99	7454	0
