iter	RMSE
0	9.49476999
1	9.154642031
2	8.817448627
3	8.514498724
4	8.215619234
5	7.942069288
6	7.6799624
7	7.424923541
8	7.190697521
9	6.980815167
10	6.786975163
11	6.601749446
12	6.415843721
13	6.248296499
14	6.082321508
15	5.941201994
16	5.802191214
17	5.671945738
18	5.542388364
19	5.419283804
20	5.306516225
21	5.209242947
22	5.112823364
23	5.029821094
24	4.936634091
25	4.861353907
26	4.781706051
27	4.711929417
28	4.642754366
29	4.583058932
30	4.525367441
31	4.47312338
32	4.423168565
33	4.377242496
34	4.32879238
35	4.277273467
36	4.230933186
37	4.197172473
38	4.160119402
39	4.127206865
40	4.096701217
41	4.063574696
42	4.031895272
43	4.006248986
44	3.976933454
45	3.946912468
46	3.928081944
47	3.894380873
48	3.869782672
49	3.838401088
50	3.814372687
51	3.795383146
52	3.772750283
53	3.753554242
54	3.735244241
55	3.713008799
56	3.697831476
57	3.683114754
58	3.66828834
59	3.656370356
60	3.643211857
61	3.621256053
62	3.603805907
63	3.588524956
64	3.578716248
65	3.560749125
66	3.551808718
67	3.541992753
68	3.527478931
69	3.512989319
70	3.50456032
71	3.494981068
72	3.483437953
73	3.474873649
74	3.46086071
75	3.44770776
76	3.43353772
77	3.419764334
78	3.410490168
79	3.403538966
80	3.398039266
81	3.38991114
82	3.377148246
83	3.369496387
84	3.362197417
85	3.356728329
86	3.350887089
87	3.343074745
88	3.335241886
89	3.323960138
90	3.319377246
91	3.310960113
92	3.300952266
93	3.293774652
94	3.288175111
95	3.279831102
96	3.270673612
97	3.263766249
98	3.258466137
99	3.252474786
100	3.243540949
101	3.239089344
102	3.230869265
103	3.225395472
104	3.221019388
105	3.218495804
106	3.212356219
107	3.206121164
108	3.201814193
109	3.19812211
110	3.193360906
111	3.187300859
112	3.179563609
113	3.175636966
114	3.17088586
115	3.166479512
116	3.162171339
117	3.157432736
118	3.152642893
119	3.147931589
120	3.14380499
121	3.14130795
122	3.137762534
123	3.135050576
124	3.132968987
125	3.126764734
126	3.12345064
127	3.118200921
128	3.113201707
129	3.110605007
130	3.103083637
131	3.100659187
132	3.097918783
133	3.095630587
134	3.091977441
135	3.090275954
136	3.086834877
137	3.084785268
138	3.080685886
139	3.079085844
140	3.075821493
141	3.073667734
142	3.070781194
143	3.068970528
144	3.066502513
145	3.060979928
146	3.056045447
147	3.051350661
148	3.047023246
149	3.04128851
150	3.038834522
151	3.036977187
152	3.030994267
153	3.028114473
154	3.025402938
155	3.022567951
156	3.020039703
157	3.016516764
158	3.012333025
159	3.009371372
160	3.005570273
161	3.001486407
162	2.998310775
163	2.994511532
164	2.99168653
165	2.987672972
166	2.984680962
167	2.981870503
168	2.978397784
169	2.974271555
170	2.97302566
171	2.969083281
172	2.966949906
173	2.964880185
174	2.959057079
175	2.953552393
176	2.94911388
177	2.94493469
178	2.941872129
179	2.937991569
180	2.933938683
181	2.932086116
182	2.929782856
183	2.927285437
184	2.92361004
185	2.921514634
186	2.918450095
187	2.914117903
188	2.910931861
189	2.908975052
190	2.904413124
191	2.901514878
192	2.897891698
193	2.8951721
194	2.892067102
195	2.890666628
196	2.886822577
197	2.883026572
198	2.878721747
199	2.876167317
200	2.874071667
201	2.871836995
202	2.869704001
203	2.86624697
204	2.863132223
205	2.859955961
206	2.857195215
207	2.854715794
208	2.85129885
209	2.848475034
210	2.845552177
211	2.841611864
212	2.838890654
213	2.835283606
214	2.83230823
215	2.829776943
216	2.827602034
217	2.825437211
218	2.823870195
219	2.820085185
220	2.818184893
221	2.81603582
222	2.812265606
223	2.809340392
224	2.808137366
225	2.805641465
226	2.802793103
227	2.800181644
228	2.797805306
229	2.795272246
230	2.792766338
231	2.788720202
232	2.786212735
233	2.78368428
234	2.781243079
235	2.779071309
236	2.775414315
237	2.772118533
238	2.769622252
239	2.767088255
240	2.765807887
241	2.763997968
242	2.762078886
243	2.759050767
244	2.757168638
245	2.75433804
246	2.752524308
247	2.750329424
248	2.747481255
249	2.745177909
250	2.743014576
251	2.74144081
252	2.739058261
253	2.736978153
254	2.735067349
255	2.73268136
256	2.729733537
257	2.728761257
258	2.727465975
259	2.725524267
260	2.723497938
261	2.7212417
262	2.719512549
263	2.717445899
264	2.715356109
265	2.71286244
266	2.710053676
267	2.707661538
268	2.705558851
269	2.703709522
270	2.702446579
271	2.701741147
272	2.699584331
273	2.697458789
274	2.695233794
275	2.692807247
276	2.690531854
277	2.688377652
278	2.685995364
279	2.683719711
280	2.682154863
281	2.679403412
282	2.678132587
283	2.676071104
284	2.674723908
285	2.673108399
286	2.671184148
