iter	Passed	Remaining
0	147	147215
1	153	76665
2	160	53322
3	166	41449
4	171	34175
5	177	29379
6	181	25804
7	188	23348
8	192	21229
9	197	19522
10	204	18347
11	208	17162
12	212	16157
13	219	15471
14	224	14761
15	229	14095
16	235	13618
17	240	13093
18	244	12625
19	250	12261
20	255	11889
21	259	11523
22	263	11200
23	268	10933
24	273	10653
25	277	10405
26	282	10164
27	286	9934
28	290	9712
29	294	9512
30	299	9351
31	303	9167
32	307	9008
33	311	8842
34	316	8718
35	320	8575
36	324	8442
37	328	8325
38	332	8201
39	336	8087
40	340	7973
41	345	7878
42	349	7783
43	355	7714
44	358	7618
45	363	7533
46	367	7451
47	371	7368
48	375	7290
49	380	7225
50	384	7151
51	388	7080
52	392	7019
53	397	6957
54	401	6890
55	404	6824
56	410	6787
57	414	6725
58	417	6665
59	421	6607
60	426	6567
61	430	6514
62	434	6462
63	438	6416
64	443	6372
65	447	6327
66	451	6281
67	455	6242
68	459	6205
69	463	6163
70	467	6121
71	472	6083
72	476	6050
73	480	6008
74	483	5965
75	489	5950
76	493	5911
77	496	5871
78	500	5836
79	505	5809
80	509	5777
81	512	5740
82	516	5706
83	520	5680
84	524	5646
85	528	5615
86	532	5584
87	536	5558
88	540	5529
89	543	5499
90	547	5473
91	552	5454
92	556	5426
93	560	5404
94	564	5380
95	569	5362
96	573	5338
97	577	5317
98	581	5295
99	585	5271
100	589	5245
101	593	5222
102	597	5200
103	601	5180
104	604	5155
105	608	5133
106	612	5109
107	616	5089
108	619	5067
109	624	5053
110	628	5031
111	632	5014
112	636	4992
113	640	4975
114	643	4954
115	647	4936
116	651	4919
117	656	4903
118	660	4893
119	665	4883
120	670	4870
121	674	4856
122	679	4843
123	684	4837
124	689	4823
125	693	4812
126	697	4797
127	701	4781
128	705	4762
129	710	4753
130	714	4738
131	718	4724
132	722	4709
133	727	4699
134	731	4687
135	736	4676
136	740	4664
137	744	4649
138	748	4633
139	751	4617
140	755	4604
141	760	4592
142	763	4577
143	767	4561
144	771	4551
145	776	4540
146	780	4527
147	783	4511
148	788	4501
149	792	4489
150	795	4474
151	799	4459
152	803	4450
153	807	4437
154	811	4424
155	815	4411
156	819	4401
157	823	4388
158	827	4374
159	831	4364
160	836	4356
161	840	4345
162	844	4334
163	848	4325
164	853	4318
165	856	4305
166	860	4294
